label,class,a_device,a_iface,b_device,b_iface,type,status,description
R4-W03,fabric-host-leaf,worker03,rail4,leaf-rail4,Ethernet3,dac-qsfpdd-400g,planned,GPU rail 4: worker03 → leaf-rail4
R5-W03,fabric-host-leaf,worker03,rail5,leaf-rail5,Ethernet3,dac-qsfpdd-400g,planned,GPU rail 5: worker03 → leaf-rail5
R6-W03,fabric-host-leaf,worker03,rail6,leaf-rail6,Ethernet3,dac-qsfpdd-400g,planned,GPU rail 6: worker03 → leaf-rail6
R7-W03,fabric-host-leaf,worker03,rail7,leaf-rail7,Ethernet3,dac-qsfpdd-400g,planned,GPU rail 7: worker03 → leaf-rail7
R0-W04,fabric-host-leaf,worker04,rail0,leaf-rail0,Ethernet4,dac-qsfpdd-400g,planned,GPU rail 0: worker04 → leaf-rail0
R1-W04,fabric-host-leaf,worker04,rail1,leaf-rail1,Ethernet4,dac-qsfpdd-400g,planned,GPU rail 1: worker04 → leaf-rail1
R2-W04,fabric-host-leaf,worker04,rail2,leaf-rail2,Ethernet4,dac-qsfpdd-400g,planned,GPU rail 2: worker04 → leaf-rail2
R3-W04,fabric-host-leaf,worker04,rail3,leaf-rail3,Ethernet4,dac-qsfpdd-400g,planned,GPU rail 3: worker04 → leaf-rail3
R4-W04,fabric-host-leaf,worker04,rail4,leaf-rail4,Ethernet4,dac-qsfpdd-400g,planned,GPU rail 4: worker04 → leaf-rail4
R5-W04,fabric-host-leaf,worker04,rail5,leaf-rail5,Ethernet4,dac-qsfpdd-400g,planned,GPU rail 5: worker04 → leaf-rail5
R6-W04,fabric-host-leaf,worker04,rail6,leaf-rail6,Ethernet4,dac-qsfpdd-400g,planned,GPU rail 6: worker04 → leaf-rail6
R7-W04,fabric-host-leaf,worker04,rail7,leaf-rail7,Ethernet4,dac-qsfpdd-400g,planned,GPU rail 7: worker04 → leaf-rail7
R0-W05,fabric-host-leaf,worker05,rail0,leaf-rail0,Ethernet5,dac-qsfpdd-400g,planned,GPU rail 0: worker05 → leaf-rail0
R1-W05,fabric-host-leaf,worker05,rail1,leaf-rail1,Ethernet5,dac-qsfpdd-400g,planned,GPU rail 1: worker05 → leaf-rail1
R2-W05,fabric-host-leaf,worker05,rail2,leaf-rail2,Ethernet5,dac-qsfpdd-400g,planned,GPU rail 2: worker05 → leaf-rail2
R3-W05,fabric-host-leaf,worker05,rail3,leaf-rail3,Ethernet5,dac-qsfpdd-400g,planned,GPU rail 3: worker05 → leaf-rail3
R4-W05,fabric-host-leaf,worker05,rail4,leaf-rail4,Ethernet5,dac-qsfpdd-400g,planned,GPU rail 4: worker05 → leaf-rail4
R5-W05,fabric-host-leaf,worker05,rail5,leaf-rail5,Ethernet5,dac-qsfpdd-400g,planned,GPU rail 5: worker05 → leaf-rail5
R6-W05,fabric-host-leaf,worker05,rail6,leaf-rail6,Ethernet5,dac-qsfpdd-400g,planned,GPU rail 6: worker05 → leaf-rail6
R7-W05,fabric-host-leaf,worker05,rail7,leaf-rail7,Ethernet5,dac-qsfpdd-400g,planned,GPU rail 7: worker05 → leaf-rail7
R0-W06,fabric-host-leaf,worker06,rail0,leaf-rail0,Ethernet6,dac-qsfpdd-400g,planned,GPU rail 0: worker06 → leaf-rail0
R1-W06,fabric-host-leaf,worker06,rail1,leaf-rail1,Ethernet6,dac-qsfpdd-400g,planned,GPU rail 1: worker06 → leaf-rail1
R2-W06,fabric-host-leaf,worker06,rail2,leaf-rail2,Ethernet6,dac-qsfpdd-400g,planned,GPU rail 2: worker06 → leaf-rail2
R3-W06,fabric-host-leaf,worker06,rail3,leaf-rail3,Ethernet6,dac-qsfpdd-400g,planned,GPU rail 3: worker06 → leaf-rail3
R4-W06,fabric-host-leaf,worker06,rail4,leaf-rail4,Ethernet6,dac-qsfpdd-400g,planned,GPU rail 4: worker06 → leaf-rail4
R5-W06,fabric-host-leaf,worker06,rail5,leaf-rail5,Ethernet6,dac-qsfpdd-400g,planned,GPU rail 5: worker06 → leaf-rail5
R6-W06,fabric-host-leaf,worker06,rail6,leaf-rail6,Ethernet6,dac-qsfpdd-400g,planned,GPU rail 6: worker06 → leaf-rail6
R7-W06,fabric-host-leaf,worker06,rail7,leaf-rail7,Ethernet6,dac-qsfpdd-400g,planned,GPU rail 7: worker06 → leaf-rail7
R0-W07,fabric-host-leaf,worker07,rail0,leaf-rail0,Ethernet7,dac-qsfpdd-400g,planned,GPU rail 0: worker07 → leaf-rail0
R1-W07,fabric-host-leaf,worker07,rail1,leaf-rail1,Ethernet7,dac-qsfpdd-400g,planned,GPU rail 1: worker07 → leaf-rail1
R2-W07,fabric-host-leaf,worker07,rail2,leaf-rail2,Ethernet7,dac-qsfpdd-400g,planned,GPU rail 2: worker07 → leaf-rail2
R3-W07,fabric-host-leaf,worker07,rail3,leaf-rail3,Ethernet7,dac-qsfpdd-400g,planned,GPU rail 3: worker07 → leaf-rail3
R4-W07,fabric-host-leaf,worker07,rail4,leaf-rail4,Ethernet7,dac-qsfpdd-400g,planned,GPU rail 4: worker07 → leaf-rail4
R5-W07,fabric-host-leaf,worker07,rail5,leaf-rail5,Ethernet7,dac-qsfpdd-400g,planned,GPU rail 5: worker07 → leaf-rail5
R6-W07,fabric-host-leaf,worker07,rail6,leaf-rail6,Ethernet7,dac-qsfpdd-400g,planned,GPU rail 6: worker07 → leaf-rail6
R7-W07,fabric-host-leaf,worker07,rail7,leaf-rail7,Ethernet7,dac-qsfpdd-400g,planned,GPU rail 7: worker07 → leaf-rail7
R0-W08,fabric-host-leaf,worker08,rail0,leaf-rail0,Ethernet8,dac-qsfpdd-400g,planned,GPU rail 0: worker08 → leaf-rail0
R1-W08,fabric-host-leaf,worker08,rail1,leaf-rail1,Ethernet8,dac-qsfpdd-400g,planned,GPU rail 1: worker08 → leaf-rail1
R2-W08,fabric-host-leaf,worker08,rail2,leaf-rail2,Ethernet8,dac-qsfpdd-400g,planned,GPU rail 2: worker08 → leaf-rail2
R3-W08,fabric-host-leaf,worker08,rail3,leaf-rail3,Ethernet8,dac-qsfpdd-400g,planned,GPU rail 3: worker08 → leaf-rail3
R4-W08,fabric-host-leaf,worker08,rail4,leaf-rail4,Ethernet8,dac-qsfpdd-400g,planned,GPU rail 4: worker08 → leaf-rail4
R5-W08,fabric-host-leaf,worker08,rail5,leaf-rail5,Ethernet8,dac-qsfpdd-400g,planned,GPU rail 5: worker08 → leaf-rail5
R6-W08,fabric-host-leaf,worker08,rail6,leaf-rail6,Ethernet8,dac-qsfpdd-400g,planned,GPU rail 6: worker08 → leaf-rail6
R7-W08,fabric-host-leaf,worker08,rail7,leaf-rail7,Ethernet8,dac-qsfpdd-400g,planned,GPU rail 7: worker08 → leaf-rail7
L0S1-U1,fabric-leaf-spine,leaf-rail0,Ethernet17,spine1,Ethernet1,aoc-qsfpdd-400g,planned,leaf-spine rail0 u1
L0S2-U2,fabric-leaf-spine,leaf-rail0,Ethernet18,spine2,Ethernet1,aoc-qsfpdd-400g,planned,leaf-spine rail0 u2
L0S1-U3,fabric-leaf-spine,leaf-rail0,Ethernet19,spine1,Ethernet2,aoc-qsfpdd-400g,planned,leaf-spine rail0 u3
L0S2-U4,fabric-leaf-spine,leaf-rail0,Ethernet20,spine2,Ethernet2,aoc-qsfpdd-400g,planned,leaf-spine rail0 u4
L0S1-U5,fabric-leaf-spine,leaf-rail0,Ethernet21,spine1,Ethernet3,aoc-qsfpdd-400g,planned,leaf-spine rail0 u5
L0S2-U6,fabric-leaf-spine,leaf-rail0,Ethernet22,spine2,Ethernet3,aoc-qsfpdd-400g,planned,leaf-spine rail0 u6
L0S1-U7,fabric-leaf-spine,leaf-rail0,Ethernet23,spine1,Ethernet4,aoc-qsfpdd-400g,planned,leaf-spine rail0 u7
L0S2-U8,fabric-leaf-spine,leaf-rail0,Ethernet24,spine2,Ethernet4,aoc-qsfpdd-400g,planned,leaf-spine rail0 u8
L1S1-U1,fabric-leaf-spine,leaf-rail1,Ethernet17,spine1,Ethernet5,aoc-qsfpdd-400g,planned,leaf-spine rail1 u1
L1S2-U2,fabric-leaf-spine,leaf-rail1,Ethernet18,spine2,Ethernet5,aoc-qsfpdd-400g,planned,leaf-spine rail1 u2
L1S1-U3,fabric-leaf-spine,leaf-rail1,Ethernet19,spine1,Ethernet6,aoc-qsfpdd-400g,planned,leaf-spine rail1 u3
L1S2-U4,fabric-leaf-spine,leaf-rail1,Ethernet20,spine2,Ethernet6,aoc-qsfpdd-400g,planned,leaf-spine rail1 u4
L1S1-U5,fabric-leaf-spine,leaf-rail1,Ethernet21,spine1,Ethernet7,aoc-qsfpdd-400g,planned,leaf-spine rail1 u5
L1S2-U6,fabric-leaf-spine,leaf-rail1,Ethernet22,spine2,Ethernet7,aoc-qsfpdd-400g,planned,leaf-spine rail1 u6
L1S1-U7,fabric-leaf-spine,leaf-rail1,Ethernet23,spine1,Ethernet8,aoc-qsfpdd-400g,planned,leaf-spine rail1 u7
L1S2-U8,fabric-leaf-spine,leaf-rail1,Ethernet24,spine2,Ethernet8,aoc-qsfpdd-400g,planned,leaf-spine rail1 u8
L2S1-U1,fabric-leaf-spine,leaf-rail2,Ethernet17,spine1,Ethernet9,aoc-qsfpdd-400g,planned,leaf-spine rail2 u1
L2S2-U2,fabric-leaf-spine,leaf-rail2,Ethernet18,spine2,Ethernet9,aoc-qsfpdd-400g,planned,leaf-spine rail2 u2
L2S1-U3,fabric-leaf-spine,leaf-rail2,Ethernet19,spine1,Ethernet10,aoc-qsfpdd-400g,planned,leaf-spine rail2 u3
L2S2-U4,fabric-leaf-spine,leaf-rail2,Ethernet20,spine2,Ethernet10,aoc-qsfpdd-400g,planned,leaf-spine rail2 u4
L2S1-U5,fabric-leaf-spine,leaf-rail2,Ethernet21,spine1,Ethernet11,aoc-qsfpdd-400g,planned,leaf-spine rail2 u5
L2S2-U6,fabric-leaf-spine,leaf-rail2,Ethernet22,spine2,Ethernet11,aoc-qsfpdd-400g,planned,leaf-spine rail2 u6
L2S1-U7,fabric-leaf-spine,leaf-rail2,Ethernet23,spine1,Ethernet12,aoc-qsfpdd-400g,planned,leaf-spine rail2 u7
L2S2-U8,fabric-leaf-spine,leaf-rail2,Ethernet24,spine2,Ethernet12,aoc-qsfpdd-400g,planned,leaf-spine rail2 u8
L3S1-U1,fabric-leaf-spine,leaf-rail3,Ethernet17,spine1,Ethernet13,aoc-qsfpdd-400g,planned,leaf-spine rail3 u1
L3S2-U2,fabric-leaf-spine,leaf-rail3,Ethernet18,spine2,Ethernet13,aoc-qsfpdd-400g,planned,leaf-spine rail3 u2
L3S1-U3,fabric-leaf-spine,leaf-rail3,Ethernet19,spine1,Ethernet14,aoc-qsfpdd-400g,planned,leaf-spine rail3 u3
L3S2-U4,fabric-leaf-spine,leaf-rail3,Ethernet20,spine2,Ethernet14,aoc-qsfpdd-400g,planned,leaf-spine rail3 u4
L3S1-U5,fabric-leaf-spine,leaf-rail3,Ethernet21,spine1,Ethernet15,aoc-qsfpdd-400g,planned,leaf-spine rail3 u5
L3S2-U6,fabric-leaf-spine,leaf-rail3,Ethernet22,spine2,Ethernet15,aoc-qsfpdd-400g,planned,leaf-spine rail3 u6
L3S1-U7,fabric-leaf-spine,leaf-rail3,Ethernet23,spine1,Ethernet16,aoc-qsfpdd-400g,planned,leaf-spine rail3 u7
L3S2-U8,fabric-leaf-spine,leaf-rail3,Ethernet24,spine2,Ethernet16,aoc-qsfpdd-400g,planned,leaf-spine rail3 u8
L4S1-U1,fabric-leaf-spine,leaf-rail4,Ethernet17,spine1,Ethernet17,aoc-qsfpdd-400g,planned,leaf-spine rail4 u1
L4S2-U2,fabric-leaf-spine,leaf-rail4,Ethernet18,spine2,Ethernet17,aoc-qsfpdd-400g,planned,leaf-spine rail4 u2
L4S1-U3,fabric-leaf-spine,leaf-rail4,Ethernet19,spine1,Ethernet18,aoc-qsfpdd-400g,planned,leaf-spine rail4 u3
L4S2-U4,fabric-leaf-spine,leaf-rail4,Ethernet20,spine2,Ethernet18,aoc-qsfpdd-400g,planned,leaf-spine rail4 u4
L4S1-U5,fabric-leaf-spine,leaf-rail4,Ethernet21,spine1,Ethernet19,aoc-qsfpdd-400g,planned,leaf-spine rail4 u5
L4S2-U6,fabric-leaf-spine,leaf-rail4,Ethernet22,spine2,Ethernet19,aoc-qsfpdd-400g,planned,leaf-spine rail4 u6
L4S1-U7,fabric-leaf-spine,leaf-rail4,Ethernet23,spine1,Ethernet20,aoc-qsfpdd-400g,planned,leaf-spine rail4 u7
L4S2-U8,fabric-leaf-spine,leaf-rail4,Ethernet24,spine2,Ethernet20,aoc-qsfpdd-400g,planned,leaf-spine rail4 u8
L5S1-U1,fabric-leaf-spine,leaf-rail5,Ethernet17,spine1,Ethernet21,aoc-qsfpdd-400g,planned,leaf-spine rail5 u1
L5S2-U2,fabric-leaf-spine,leaf-rail5,Ethernet18,spine2,Ethernet21,aoc-qsfpdd-400g,planned,leaf-spine rail5 u2
L5S1-U3,fabric-leaf-spine,leaf-rail5,Ethernet19,spine1,Ethernet22,aoc-qsfpdd-400g,planned,leaf-spine rail5 u3
L5S2-U4,fabric-leaf-spine,leaf-rail5,Ethernet20,spine2,Ethernet22,aoc-qsfpdd-400g,planned,leaf-spine rail5 u4
L5S1-U5,fabric-leaf-spine,leaf-rail5,Ethernet21,spine1,Ethernet23,aoc-qsfpdd-400g,planned,leaf-spine rail5 u5
L5S2-U6,fabric-leaf-spine,leaf-rail5,Ethernet22,spine2,Ethernet23,aoc-qsfpdd-400g,planned,leaf-spine rail5 u6
L5S1-U7,fabric-leaf-spine,leaf-rail5,Ethernet23,spine1,Ethernet24,aoc-qsfpdd-400g,planned,leaf-spine rail5 u7
L5S2-U8,fabric-leaf-spine,leaf-rail5,Ethernet24,spine2,Ethernet24,aoc-qsfpdd-400g,planned,leaf-spine rail5 u8
L6S1-U1,fabric-leaf-spine,leaf-rail6,Ethernet17,spine1,Ethernet25,aoc-qsfpdd-400g,planned,leaf-spine rail6 u1
L6S2-U2,fabric-leaf-spine,leaf-rail6,Ethernet18,spine2,Ethernet25,aoc-qsfpdd-400g,planned,leaf-spine rail6 u2
L6S1-U3,fabric-leaf-spine,leaf-rail6,Ethernet19,spine1,Ethernet26,aoc-qsfpdd-400g,planned,leaf-spine rail6 u3
L6S2-U4,fabric-leaf-spine,leaf-rail6,Ethernet20,spine2,Ethernet26,aoc-qsfpdd-400g,planned,leaf-spine rail6 u4
L6S1-U5,fabric-leaf-spine,leaf-rail6,Ethernet21,spine1,Ethernet27,aoc-qsfpdd-400g,planned,leaf-spine rail6 u5
L6S2-U6,fabric-leaf-spine,leaf-rail6,Ethernet22,spine2,Ethernet27,aoc-qsfpdd-400g,planned,leaf-spine rail6 u6
L6S1-U7,fabric-leaf-spine,leaf-rail6,Ethernet23,spine1,Ethernet28,aoc-qsfpdd-400g,planned,leaf-spine rail6 u7
L6S2-U8,fabric-leaf-spine,leaf-rail6,Ethernet24,spine2,Ethernet28,aoc-qsfpdd-400g,planned,leaf-spine rail6 u8
L7S1-U1,fabric-leaf-spine,leaf-rail7,Ethernet17,spine1,Ethernet29,aoc-qsfpdd-400g,planned,leaf-spine rail7 u1
L7S2-U2,fabric-leaf-spine,leaf-rail7,Ethernet18,spine2,Ethernet29,aoc-qsfpdd-400g,planned,leaf-spine rail7 u2
L7S1-U3,fabric-leaf-spine,leaf-rail7,Ethernet19,spine1,Ethernet30,aoc-qsfpdd-400g,planned,leaf-spine rail7 u3
L7S2-U4,fabric-leaf-spine,leaf-rail7,Ethernet20,spine2,Ethernet30,aoc-qsfpdd-400g,planned,leaf-spine rail7 u4
L7S1-U5,fabric-leaf-spine,leaf-rail7,Ethernet21,spine1,Ethernet31,aoc-qsfpdd-400g,planned,leaf-spine rail7 u5
L7S2-U6,fabric-leaf-spine,leaf-rail7,Ethernet22,spine2,Ethernet31,aoc-qsfpdd-400g,planned,leaf-spine rail7 u6
L7S1-U7,fabric-leaf-spine,leaf-rail7,Ethernet23,spine1,Ethernet32,aoc-qsfpdd-400g,planned,leaf-spine rail7 u7
L7S2-U8,fabric-leaf-spine,leaf-rail7,Ethernet24,spine2,Ethernet32,aoc-qsfpdd-400g,planned,leaf-spine rail7 u8
OOB-cp01,oob-bmc,cp01,bmc,oob-sw1,Ethernet1,cat6,planned,BMC cp01 → oob-sw1 (VLAN 20)
OOB-cp02,oob-bmc,cp02,bmc,oob-sw1,Ethernet2,cat6,planned,BMC cp02 → oob-sw1 (VLAN 20)
OOB-cp03,oob-bmc,cp03,bmc,oob-sw1,Ethernet3,cat6,planned,BMC cp03 → oob-sw1 (VLAN 20)
OOB-util01,oob-bmc,util01,bmc,oob-sw1,Ethernet4,cat6,planned,BMC util01 → oob-sw1 (VLAN 20)
OOB-util02,oob-bmc,util02,bmc,oob-sw1,Ethernet5,cat6,planned,BMC util02 → oob-sw1 (VLAN 20)
OOB-util03,oob-bmc,util03,bmc,oob-sw1,Ethernet6,cat6,planned,BMC util03 → oob-sw1 (VLAN 20)
OOB-worker01,oob-bmc,worker01,bmc,oob-sw1,Ethernet7,cat6,planned,BMC worker01 → oob-sw1 (VLAN 20)
OOB-worker02,oob-bmc,worker02,bmc,oob-sw1,Ethernet8,cat6,planned,BMC worker02 → oob-sw1 (VLAN 20)
OOB-worker03,oob-bmc,worker03,bmc,oob-sw1,Ethernet9,cat6,planned,BMC worker03 → oob-sw1 (VLAN 20)
OOB-worker04,oob-bmc,worker04,bmc,oob-sw1,Ethernet10,cat6,planned,BMC worker04 → oob-sw1 (VLAN 20)
OOB-worker05,oob-bmc,worker05,bmc,oob-sw2,Ethernet1,cat6,planned,BMC worker05 → oob-sw2 (VLAN 20)
OOB-worker06,oob-bmc,worker06,bmc,oob-sw2,Ethernet2,cat6,planned,BMC worker06 → oob-sw2 (VLAN 20)
OOB-worker07,oob-bmc,worker07,bmc,oob-sw2,Ethernet3,cat6,planned,BMC worker07 → oob-sw2 (VLAN 20)
OOB-worker08,oob-bmc,worker08,bmc,oob-sw2,Ethernet4,cat6,planned,BMC worker08 → oob-sw2 (VLAN 20)
MGMT-seed01,oob-mgmt0,seed01,mgmt0,oob-sw1,Ethernet11,cat6,planned,mgmt0 seed01 → oob-sw1 (VLAN 10)
MGMT-cp01,oob-mgmt0,cp01,mgmt0,oob-sw1,Ethernet12,cat6,planned,mgmt0 cp01 → oob-sw1 (VLAN 10)
MGMT-cp02,oob-mgmt0,cp02,mgmt0,oob-sw1,Ethernet13,cat6,planned,mgmt0 cp02 → oob-sw1 (VLAN 10)
MGMT-cp03,oob-mgmt0,cp03,mgmt0,oob-sw1,Ethernet14,cat6,planned,mgmt0 cp03 → oob-sw1 (VLAN 10)
MGMT-util01,oob-mgmt0,util01,mgmt0,oob-sw1,Ethernet15,cat6,planned,mgmt0 util01 → oob-sw1 (VLAN 10)
MGMT-util02,oob-mgmt0,util02,mgmt0,oob-sw1,Ethernet16,cat6,planned,mgmt0 util02 → oob-sw1 (VLAN 10)
MGMT-util03,oob-mgmt0,util03,mgmt0,oob-sw1,Ethernet17,cat6,planned,mgmt0 util03 → oob-sw1 (VLAN 10)
MGMT-worker01,oob-mgmt0,worker01,mgmt0,oob-sw1,Ethernet18,cat6,planned,mgmt0 worker01 → oob-sw1 (VLAN 10)
MGMT-worker02,oob-mgmt0,worker02,mgmt0,oob-sw1,Ethernet19,cat6,planned,mgmt0 worker02 → oob-sw1 (VLAN 10)
MGMT-worker03,oob-mgmt0,worker03,mgmt0,oob-sw1,Ethernet20,cat6,planned,mgmt0 worker03 → oob-sw1 (VLAN 10)
MGMT-worker04,oob-mgmt0,worker04,mgmt0,oob-sw1,Ethernet21,cat6,planned,mgmt0 worker04 → oob-sw1 (VLAN 10)
MGMT-worker05,oob-mgmt0,worker05,mgmt0,oob-sw2,Ethernet5,cat6,planned,mgmt0 worker05 → oob-sw2 (VLAN 10)
MGMT-worker06,oob-mgmt0,worker06,mgmt0,oob-sw2,Ethernet6,cat6,planned,mgmt0 worker06 → oob-sw2 (VLAN 10)
MGMT-worker07,oob-mgmt0,worker07,mgmt0,oob-sw2,Ethernet7,cat6,planned,mgmt0 worker07 → oob-sw2 (VLAN 10)
MGMT-worker08,oob-mgmt0,worker08,mgmt0,oob-sw2,Ethernet8,cat6,planned,mgmt0 worker08 → oob-sw2 (VLAN 10)
MA1-spine1,oob-switch-ma1,spine1,Management1,oob-sw1,Ethernet22,cat6,planned,"Ma1 spine1 → oob-sw1 (VLAN 20, ZTP)"
MA1-spine2,oob-switch-ma1,spine2,Management1,oob-sw1,Ethernet23,cat6,planned,"Ma1 spine2 → oob-sw1 (VLAN 20, ZTP)"
MA1-leaf-rail0,oob-switch-ma1,leaf-rail0,Management1,oob-sw1,Ethernet24,cat6,planned,"Ma1 leaf-rail0 → oob-sw1 (VLAN 20, ZTP)"
MA1-leaf-rail1,oob-switch-ma1,leaf-rail1,Management1,oob-sw1,Ethernet25,cat6,planned,"Ma1 leaf-rail1 → oob-sw1 (VLAN 20, ZTP)"
MA1-leaf-rail2,oob-switch-ma1,leaf-rail2,Management1,oob-sw1,Ethernet26,cat6,planned,"Ma1 leaf-rail2 → oob-sw1 (VLAN 20, ZTP)"
MA1-leaf-rail3,oob-switch-ma1,leaf-rail3,Management1,oob-sw1,Ethernet27,cat6,planned,"Ma1 leaf-rail3 → oob-sw1 (VLAN 20, ZTP)"
MA1-leaf-rail4,oob-switch-ma1,leaf-rail4,Management1,oob-sw2,Ethernet9,cat6,planned,"Ma1 leaf-rail4 → oob-sw2 (VLAN 20, ZTP)"
MA1-leaf-rail5,oob-switch-ma1,leaf-rail5,Management1,oob-sw2,Ethernet10,cat6,planned,"Ma1 leaf-rail5 → oob-sw2 (VLAN 20, ZTP)"
MA1-leaf-rail6,oob-switch-ma1,leaf-rail6,Management1,oob-sw2,Ethernet11,cat6,planned,"Ma1 leaf-rail6 → oob-sw2 (VLAN 20, ZTP)"
MA1-leaf-rail7,oob-switch-ma1,leaf-rail7,Management1,oob-sw2,Ethernet12,cat6,planned,"Ma1 leaf-rail7 → oob-sw2 (VLAN 20, ZTP)"
OOB-PEER-1,oob-peer,oob-sw1,Ethernet49,oob-sw2,Ethernet49,dac-25g-5m,planned,OOB MLAG peer-link 1
OOB-PEER-2,oob-peer,oob-sw1,Ethernet50,oob-sw2,Ethernet50,dac-25g-5m,planned,OOB MLAG peer-link 2
